A00009-SII  |ARMANANTA EKA PUTRA, PT                                     ||2009.00119            |2020-09-30|LE MINERALE                   |TIRTA FRESHINDO JAYA, PT                                    |1350002
M00212-BLI  |MEDIA FRAMING INDONESIA, PT                                 ||2102.00154            |2021-02-28|AB SHOP                       |MEDIA FRAMING INDONESIA, PT                                 |111334411
N00002-SII  |NOETRA GRAFIKKOM                                            ||12.004.0063-08        |2008-12-11|PSA ILM SOSIALISASI B O S     ||54104
N00005-SII  |NUTRIFOOD INDONESIA, PT                                     ||2001.00094            |2020-01-31|TROPICANA SLIM CORPORATE      |NUTRIFOOD INDONESIA, PT                                     |23032000
N00005-SII  |NUTRIFOOD INDONESIA, PT                                     ||2002.00026            |2020-02-27|TROPICANA SLIM CORPORATE      |NUTRIFOOD INDONESIA, PT                                     |20728000
N00005-SII  |NUTRIFOOD INDONESIA, PT                                     ||2002.00134            |2020-02-29|TROPICANA SLIM CORPORATE      |NUTRIFOOD INDONESIA, PT                                     |15000000
N00005-SII  |NUTRIFOOD INDONESIA, PT                                     ||2002.00135            |2020-02-29|TROPICANA SLIM CORPORATE      |NUTRIFOOD INDONESIA, PT                                     |32552000
N00005-SII  |NUTRIFOOD INDONESIA, PT                                     ||2003.00080            |2020-03-27|TROPICANA SLIM CORPORATE      |NUTRIFOOD INDONESIA, PT                                     |1440000
N00005-SII  |NUTRIFOOD INDONESIA, PT                                     ||2003.00081            |2020-03-27|TROPICANA SLIM CORPORATE      |NUTRIFOOD INDONESIA, PT                                     |1920000
N00005-SII  |NUTRIFOOD INDONESIA, PT                                     ||2003.00143            |2020-03-31|TROPICANA SLIM CORPORATE      |NUTRIFOOD INDONESIA, PT                                     |2880000
N00005-SII  |NUTRIFOOD INDONESIA, PT                                     ||2003.00144            |2020-03-31|TROPICANA SLIM CORPORATE      |NUTRIFOOD INDONESIA, PT                                     |1440000
N00005-SII  |NUTRIFOOD INDONESIA, PT                                     ||2003.00145            |2020-03-31|TROPICANA SLIM CORPORATE      |NUTRIFOOD INDONESIA, PT                                     |1920000
N00005-SII  |NUTRIFOOD INDONESIA, PT                                     ||2004.00015            |2020-04-27|TROPICANA SLIM CORPORATE      |NUTRIFOOD INDONESIA, PT                                     |13866667
N00005-SII  |NUTRIFOOD INDONESIA, PT                                     ||2004.00073            |2020-04-27|TROPICANA SLIM CORPORATE      |NUTRIFOOD INDONESIA, PT                                     |1600000
N00005-SII  |NUTRIFOOD INDONESIA, PT                                     ||2004.00074            |2020-04-27|TROPICANA SLIM CORPORATE      |NUTRIFOOD INDONESIA, PT                                     |1600000
N00005-SII  |NUTRIFOOD INDONESIA, PT                                     ||2004.00075            |2020-04-27|TROPICANA SLIM CORPORATE      |NUTRIFOOD INDONESIA, PT                                     |1600000
N00005-SII  |NUTRIFOOD INDONESIA, PT                                     ||2004.00167            |2020-04-30|TROPICANA SLIM CORPORATE      |NUTRIFOOD INDONESIA, PT                                     |50484000
N00005-SII  |NUTRIFOOD INDONESIA, PT                                     ||2005.00027            |2020-05-26|TROPICANA SLIM CORPORATE      |NUTRIFOOD INDONESIA, PT                                     |32552000
N00005-SII  |NUTRIFOOD INDONESIA, PT                                     ||2006.00104            |2020-06-30|TROPICANA SLIM CORPORATE      |NUTRIFOOD INDONESIA, PT                                     |28232000
N00005-SII  |NUTRIFOOD INDONESIA, PT                                     ||2008.00055            |2020-08-27|TROPICANA SLIM CORPORATE      |NUTRIFOOD INDONESIA, PT                                     |36828000
N00005-SII  |NUTRIFOOD INDONESIA, PT                                     ||2008.00135            |2020-08-31|TROPICANA SLIM CORPORATE      |NUTRIFOOD INDONESIA, PT                                     |9564446
N00005-SII  |NUTRIFOOD INDONESIA, PT                                     ||2008.00136            |2020-08-31|TROPICANA SLIM CORPORATE      |NUTRIFOOD INDONESIA, PT                                     |69697333
N00005-SII  |NUTRIFOOD INDONESIA, PT                                     ||2009.00018            |2020-09-28|TROPICANA SLIM CORPORATE      |NUTRIFOOD INDONESIA, PT                                     |3342222
N00005-SII  |NUTRIFOOD INDONESIA, PT                                     ||2009.00045            |2020-09-28|TROPICANA SLIM CORPORATE      |NUTRIFOOD INDONESIA, PT                                     |32262667
N00005-SII  |NUTRIFOOD INDONESIA, PT                                     ||2009.00128            |2020-09-30|TROPICANA SLIM CORPORATE      |NUTRIFOOD INDONESIA, PT                                     |5152000
N00005-SII  |NUTRIFOOD INDONESIA, PT                                     ||2010.00011            |2020-10-27|TROPICANA SLIM CORPORATE      |NUTRIFOOD INDONESIA, PT                                     |7744000
N00005-SII  |NUTRIFOOD INDONESIA, PT                                     ||2010.00090            |2020-10-31|TROPICANA SLIM CORPORATE      |NUTRIFOOD INDONESIA, PT                                     |7037334
N00005-SII  |NUTRIFOOD INDONESIA, PT                                     ||2011.00014            |2020-11-26|TROPICANA SLIM CORPORATE      |NUTRIFOOD INDONESIA, PT                                     |7125334
N00005-SII  |NUTRIFOOD INDONESIA, PT                                     ||2101.00076            |2021-01-31|TROPICANA SLIM CORPORATE      |NUTRIFOOD INDONESIA, PT                                     |5184000
N00005-SII  |NUTRIFOOD INDONESIA, PT                                     ||2102.00091            |2021-02-28|TROPICANA SLIM CORPORATE      |NUTRIFOOD INDONESIA, PT                                     |413188863
N00006-BLI  |NADIRA UTAMA PROMOSINDO,PT                                  ||0904.01205            |2009-04-30|RAHASIA HERBAL                ||5000000
N00007-SII  |NOVELL PHARMACEUTICAL LAB.                                  ||0912.00405            |2009-12-31|MIPI                          ||560000
N00020-BLI  |NUANSA BERDIKARI MANDIRI, PT                                ||1304.00117            |2013-04-30|DISHUB KOMINFO NTB            |DISHUBKOMINFO NTB                                           |129000000
N00020-BLI  |NUANSA BERDIKARI MANDIRI, PT                                ||1304.00118            |2013-04-30|PARIWISATA LOMBOK SUMBAWA     |BADAN PROMOSI PARIWISATA DAERAH NUSA TENGGARA BARAT         |148500000
N00020-SII  |NUANSA BERDIKARI MANDIRI, PT                                ||1212.00388            |2012-12-31|PEMKOT MEDAN                  |PEMERINTAH KOTA MEDAN                                       |1636633
N00020-SII  |NUANSA BERDIKARI MANDIRI, PT                                ||1304.00116            |2013-04-30|PARIWISATA LOMBOK SUMBAWA     |BADAN PROMOSI PARIWISATA DAERAH NUSA TENGGARA BARAT         |1260000
N00020-SII  |NUANSA BERDIKARI MANDIRI, PT                                ||1305.00225            |2013-05-31|PARIWISATA LOMBOK SUMBAWA     |BADAN PROMOSI PARIWISATA DAERAH NUSA TENGGARA BARAT         |46200000
N00040-SII  |NUCLEUS MEDIA INDONESIA, PT                                 ||1208.00123            |2012-08-31|PARPOL KPU                    |NUCLEUS MEDIA INDONESIA, PT                                 |260000
N00060-SII  |NATNET MEDIA MANDIRI, PT                                    ||2101.00132            |2021-01-31|VITALONG C                    |BERNOFARM PHARMACETICAL COMPANY, PT                         |192830000
N00060-SII  |NATNET MEDIA MANDIRI, PT                                    ||2102.00142            |2021-02-28|VITALONG C                    |BERNOFARM PHARMACETICAL COMPANY, PT                         |186670000
N00076-SII  |NUSANTARA DIGIMEDIA INVESTMENTS, PT                         ||1909.00320A           |2019-09-30|PROMOSI FILM GUNDALA          |PROMOSI FILM GUNDALA                                        |155320000
N00076-SII  |NUSANTARA DIGIMEDIA INVESTMENTS, PT                         ||1910.00264            |2019-10-31|PROMOSI FILM GUNDALA          |NUSANTARA DIGIMEDIA INVESTMENTS, PT                         |64460000
N00076-SII  |NUSANTARA DIGIMEDIA INVESTMENTS, PT                         ||2002.00221A           |2020-02-29|FILM SEBELUM IBLIS MENJEMPUT A|PROMO FILM SIMA 2                                           |220000000
O00002-SII  |OXIGEN COMMUNICATIONS, PT                                   ||04.004.0058-07        |2007-04-30|GRANITA                       ||81102514
O00002-SII  |OXIGEN COMMUNICATIONS, PT                                   ||05.004.0087 -07       |2007-09-30|GRANITA                       ||115522286
O00003-SII  |OPTIMA MEDIA DINAMIKA,  PT                                  ||011004213-03          |2003-11-30|||70000000
O00003-SII  |OPTIMA MEDIA DINAMIKA,  PT                                  ||2012.00091            |2020-12-31|HERBAMUNO                     |[BANNED] MUSTIKA RATU, TBK. PT                              |54000000
O00003-SII  |OPTIMA MEDIA DINAMIKA,  PT                                  ||2101.00040            |2021-01-31|PROSTAKUR                     |MEDIKON PRIMA LABORATORIES, PT                              |47718000
O00003-SII  |OPTIMA MEDIA DINAMIKA,  PT                                  ||2102.00049            |2021-02-28|KINDEREN BABY BALSAM          |MEDIKON PRIMA LABORATORIES, PT                              |23859000
O00003-SII  |OPTIMA MEDIA DINAMIKA,  PT                                  ||2102.00050            |2021-02-28|CALDANA FLEX                  |MEDIKON PRIMA LABORATORIES, PT                              |47718000
O00003-SII  |OPTIMA MEDIA DINAMIKA,  PT                                  ||2102.00051            |2021-02-28|VITAL EAR OIL                 |MEDIKON PRIMA LABORATORIES, PT                              |47718000
O00013-SII  |OTORITAS JASA KEUANGAN                                      ||2101.00026            |2021-01-21|OTORITAS JASA KEUANGAN        |OTORITAS JASA KEUANGAN                                      |909091
O00014-SII  |OMNICOM MEDIA GROUP INDONESIA, PT                           ||2012.00194            |2020-12-31|HERBAKOF                      |DEXA MEDICA PT.                                             |16200000
O00014-SII  |OMNICOM MEDIA GROUP INDONESIA, PT                           ||2012.00195            |2020-12-31|ALLIANZ                       |ALLIANZ INSURANCE                                           |166700573
O00014-SII  |OMNICOM MEDIA GROUP INDONESIA, PT                           ||2101.00133            |2021-01-31|ALLIANZ                       |ALLIANZ INSURANCE                                           |388330379
O00014-SII  |OMNICOM MEDIA GROUP INDONESIA, PT                           ||2102.00027            |2021-02-24|BANK SYARIAH INDONESIA        |BANK SYARIAH INDONESIA. PT                                  |374000000
O00014-SII  |OMNICOM MEDIA GROUP INDONESIA, PT                           ||2102.00143            |2021-02-28|BANK SYARIAH INDONESIA        |BANK SYARIAH INDONESIA. PT                                  |130900000
O00015-BLI  |OHIO SURYA MEDIA, PT                                        ||1904.00065            |2019-04-26|PARTAI GOLKAR                 |PARTAI GOLKAR                                               |700000000
O00015-SII  |OHIO SURYA MEDIA, PT                                        ||1903.00298            |2019-03-31|PARTAI GOLKAR                 |PARTAI GOLKAR                                               |270299997
O00015-SII  |OHIO SURYA MEDIA, PT                                        ||1904.00317            |2019-04-30|PARTAI GOLKAR                 |PARTAI GOLKAR                                               |922999987
P00001-SII  |PALTRA GLORY                                                ||010.0040230-06        |2006-10-31|BASNAZ                        ||119999993
P00002-KSI  |PANITIA PERAYAAN NYEPI                                      ||0030040364 - 04       |2004-03-31|||2800000
P00003-SII  |PARAMITA MEDIA PERKASA, PT                                  ||012.004.0196-07       |2007-12-31|DRTV                          ||455000
P00003-SII  |PARAMITA MEDIA PERKASA, PT                                  ||03.004.0144-08        |2008-03-31|DRTV                          ||43195080
P00003-SII  |PARAMITA MEDIA PERKASA, PT                                  ||06.004.0288-07        |2007-06-30|DRTV                          ||637000
P00003-SII  |PARAMITA MEDIA PERKASA, PT                                  ||07.004.0244-07        |2007-07-31|DRTV                          ||1430000
P00003-SII  |PARAMITA MEDIA PERKASA, PT                                  ||07.004.0245-07        |2007-07-31|DRTV                          ||84000
P00003-SII  |PARAMITA MEDIA PERKASA, PT                                  ||08.004.0251-07        |2007-08-31|DRTV                          ||617500
P00003-SII  |PARAMITA MEDIA PERKASA, PT                                  ||09.004.0101-07        |2007-09-30|DRTV                          ||162500
P00003-SII  |PARAMITA MEDIA PERKASA, PT                                  ||09.004.0102-07        |2007-09-30|DRTV                          ||487500
P00003-SII  |PARAMITA MEDIA PERKASA, PT                                  ||09.004.0206-07        |2007-09-30|DRTV                          ||666248
P00005-BTI  |PASARAYA (GRANDE SHOW)                                      ||001.0040016-07        |2007-01-31|PASARAYA MANGGARAI            ||55000000
P00005-BTI  |PASARAYA (GRANDE SHOW)                                      ||005.0040151-06        |2006-05-31|PASARAYA GRANDE               ||88000000
P00005-BTI  |PASARAYA (GRANDE SHOW)                                      ||005.0040152-06        |2006-05-31|PASARAYA GRANDE               ||88000000
P00005-BTI  |PASARAYA (GRANDE SHOW)                                      ||006.0040175-06        |2006-06-30|PASARAYA MANGGARAI            ||28170727
P00005-BTI  |PASARAYA (GRANDE SHOW)                                      ||006.0040176-06        |2006-06-30|PASARAYA GRANDE               ||131067371
P00005-BTI  |PASARAYA (GRANDE SHOW)                                      ||007.0040239-06        |2006-07-31|PASARAYA GRANDE               ||76832630
P00005-BTI  |PASARAYA (GRANDE SHOW)                                      ||007.0040240-06        |2006-07-31|PASARAYA MANGGARAI            ||26829273
P00005-BTI  |PASARAYA (GRANDE SHOW)                                      ||008.0040236-06        |2006-08-31|PASARAYA MANGGARAI            ||55000000
P00005-BTI  |PASARAYA (GRANDE SHOW)                                      ||010.0040029-06        |2006-10-31|PASARAYA MANGGARAI            ||55000000
P00005-BTI  |PASARAYA (GRANDE SHOW)                                      ||012.00400032-06       |2006-12-30|PASARAYA MANGGARAI            ||55000000
P00005-BTI  |PASARAYA (GRANDE SHOW)                                      ||02.004.0030-07        |2007-02-28|PASARAYA GRANDE               ||82500000
P00006-SII  |PELITA ALEMBANA                                             ||11.004.0153-08        |2008-11-27|PSA IMAGE BUILDING            ||5400000
P00006-SII  |PELITA ALEMBANA                                             ||11.004.0328-08        |2008-11-30|PSA IMAGE BUILDING            ||12500000
P00006-SII  |PELITA ALEMBANA                                             ||12.004.0230-08        |2008-12-31|PSA IMAGE BUILDING            ||6500000
P00006-SII  |PELITA ALEMBANA                                             ||12.004.0285-08        |2008-12-31|PSA IMAGE BUILDING            ||19500000
P00008-SII  |PERADA SWARA PRODUCTIONS, PT                                ||2101.00064            |2021-01-31|DJARUM SUPER NEXT             |DJARUM, PT                                                  |2630250
P00008-SII  |PERADA SWARA PRODUCTIONS, PT                                ||2101.00065            |2021-01-31|DJARUM SUPER NEXT             |DJARUM, PT                                                  |9009000
P00008-SII  |PERADA SWARA PRODUCTIONS, PT                                ||2101.00066            |2021-01-31|DJARUM SUPER NEXT             |DJARUM, PT                                                  |6552000
P00008-SII  |PERADA SWARA PRODUCTIONS, PT                                ||2102.00090            |2021-02-28|DJARUM SUPER NEXT             |DJARUM, PT                                                  |137775000
P00008-SSI  |PERADA SWARA PRODUCTIONS, PT                                ||09.004.0303-08        |2008-09-30|DJARUM SUPER                  ||80000
P00008-SSI  |PERADA SWARA PRODUCTIONS, PT                                ||09.004.0304-08        |2008-09-30|DJARUM SUPER                  ||80000
P00008-SSI  |PERADA SWARA PRODUCTIONS, PT                                ||0901.00178            |2009-01-31|DJARUM SUPER                  ||600000
P00008-SSI  |PERADA SWARA PRODUCTIONS, PT                                ||0901.00180            |2009-01-31|DJARUM SUPER                  ||8606069
P00008-SSI  |PERADA SWARA PRODUCTIONS, PT                                ||0901.00181            |2009-01-31|DJARUM SUPER                  ||600000
P00008-SSI  |PERADA SWARA PRODUCTIONS, PT                                ||0902.00419            |2009-02-28|DJARUM SUPER                  ||600000
P00008-SSI  |PERADA SWARA PRODUCTIONS, PT                                ||0902.00434            |2009-02-28|DJARUM SUPER                  ||5600000
P00008-SSI  |PERADA SWARA PRODUCTIONS, PT                                ||0903.00915            |2009-03-31|DJARUM SUPER                  ||4000000
P00008-SSI  |PERADA SWARA PRODUCTIONS, PT                                ||0903.00916            |2009-03-31|DJARUM SUPER                  ||4000000
P00008-SSI  |PERADA SWARA PRODUCTIONS, PT                                ||0904.01210            |2009-04-30|DJARUM SUPER                  ||8000000
P00008-SSI  |PERADA SWARA PRODUCTIONS, PT                                ||0904.01212            |2009-04-30|DJARUM SUPER                  ||8000000
P00008-SSI  |PERADA SWARA PRODUCTIONS, PT                                ||0905.00297            |2009-05-31|DJARUM SUPER                  ||6600000
P00008-SSI  |PERADA SWARA PRODUCTIONS, PT                                ||0905.00298            |2009-05-31|DJARUM SUPER                  ||6600000
P00008-SSI  |PERADA SWARA PRODUCTIONS, PT                                ||10.004.0279-08        |2008-10-31|DJARUM SUPER                  ||1745000
P00008-SSI  |PERADA SWARA PRODUCTIONS, PT                                ||11.004.0267-08        |2008-11-30|DJARUM SUPER                  ||1000000
P00008-SSI  |PERADA SWARA PRODUCTIONS, PT                                ||12.004.0234-08        |2008-12-31|DJARUM SUPER                  ||600000
P00008-SSI  |PERADA SWARA PRODUCTIONS, PT                                ||12.004.0236-08        |2008-12-31|DJARUM SUPER                  ||600000
P00008-SSI  |PERADA SWARA PRODUCTIONS, PT                                ||2102.00016            |2021-02-24|LA BOLD                       |DJARUM, PT                                                  |110000000
P00010-SSI  |PERTAMINA, PT                                               ||2101.00002            |2021-01-12|PERTAMINA CORPORATE           |PERTAMINA (PERSERO), PT                                     |400000000
P00012-BTI  |PILAR SAKTI BERSAMA, PT                                     ||08.004.0196-08        |2008-08-31|NOVOTEL PALEMBANG             ||56100000
P00014-SII  |PLANET KOMUNIKATAMA, PT                                     ||007.0040125 -05       |2005-07-30|PSA BANK INDONESIA            ||31680000
P00014-SII  |PLANET KOMUNIKATAMA, PT                                     ||010.0040126 -05       |2005-10-31|PSA GEMAR MAKAN IKAN          ||900000
P00015-SII  |PLN (PERSERO), PT                                           ||1701.00113            |2017-01-31|PLN                           |PLN (PERSERO) PT                                            |54545
P00015-SII  |PLN (PERSERO), PT                                           ||2002.00066            |2020-02-27|PLN                           |PLN (PERSERO) PT                                            |55000000
P00015-SII  |PLN (PERSERO), PT                                           ||2012.00099            |2020-12-31|NEW PLN MOBILE                |PLN (PERSERO) PT                                            |373287662
P00015-SSI  |PLN (PERSERO), PT                                           ||2102.00093            |2021-02-28|PLN PERSERO                   |PLN (PERSERO) PT                                            |330000000
P00017-BLI  |PRADANI SUKSES ABADI, PT                                    ||09.004.0271-08        |2008-09-30|AGUNG PODOMORO                ||675000
P00017-BLI  |PRADANI SUKSES ABADI, PT                                    ||1107.00045            |2011-07-31|AGUNG PODOMORO                ||1500000
P00018-KSI  |PRIMA MEDIA ANTARA, PT                                      ||0050040012X-04        |2004-05-31|||9735200
P00018-KSI  |PRIMA MEDIA ANTARA, PT                                      ||0050040012X1-04       |2004-05-31|||43138427
P00018-SII  |PRIMA MEDIA ANTARA, PT                                      ||0070040004- 04        |2004-07-30|BRAND NYA ADEM SARI           ||29744000
P00019-BLI  |PRIMA MULTI PERKASA, PT                                     ||1406.00016            |2014-06-30|DRTV BLOCKING                 |PRIMA MULTI PERKASA, PT                                     |7758000
P00019-BLI  |PRIMA MULTI PERKASA, PT                                     ||1406.00017            |2014-06-30|DRTV BLOCKING                 |PRIMA MULTI PERKASA, PT                                     |63250000
P00019-BLI  |PRIMA MULTI PERKASA, PT                                     ||1406.00089            |2014-06-30|DRTV BLOCKING                 |PRIMA MULTI PERKASA, PT                                     |63250000
P00019-BLI  |PRIMA MULTI PERKASA, PT                                     ||1406.00133            |2014-06-30|DRTV BLOCKING                 |MURINDO PRIMA KARSATAMA.PT                                  |63250000
P00019-BLI  |PRIMA MULTI PERKASA, PT                                     ||1406.00251            |2014-06-30|DRTV BLOCKING                 |PRIMA MULTI PERKASA, PT                                     |63250000
P00019-SII  |PRIMA MULTI PERKASA, PT                                     ||010.004.0006-07       |2007-10-31|DRTV                          ||975000
P00019-SII  |PRIMA MULTI PERKASA, PT                                     ||010.004.0007-07       |2007-10-31|DRTV                          ||975000
P00019-SII  |PRIMA MULTI PERKASA, PT                                     ||010.004.0057-07       |2007-10-31|DRTV                          ||162499
P00019-SII  |PRIMA MULTI PERKASA, PT                                     ||010.004.0058-07       |2007-10-31|DRTV                          ||585000
P00019-SII  |PRIMA MULTI PERKASA, PT                                     ||010.004.0059-07       |2007-10-31|DRTV                          ||975000
P00019-SII  |PRIMA MULTI PERKASA, PT                                     ||010.004.0060-07       |2007-10-31|DRTV                          ||975000
P00019-SII  |PRIMA MULTI PERKASA, PT                                     ||010.004.0061-07       |2007-10-31|DRTV                          ||1657499
P00019-SII  |PRIMA MULTI PERKASA, PT                                     ||011.004.0006-07       |2007-11-30|DRTV                          ||975000
P00019-SII  |PRIMA MULTI PERKASA, PT                                     ||011.004.0007-07       |2007-11-30|DRTV                          ||975000
P00019-SII  |PRIMA MULTI PERKASA, PT                                     ||011.004.0008-07       |2007-11-30|DRTV                          ||390000
P00019-SII  |PRIMA MULTI PERKASA, PT                                     ||011.004.0049-07       |2007-11-30|DRTV                          ||975000
P00019-SII  |PRIMA MULTI PERKASA, PT                                     ||011.004.0050-07       |2007-11-30|DRTV                          ||975000
P00019-SII  |PRIMA MULTI PERKASA, PT                                     ||011.004.0051-07       |2007-11-30|DRTV                          ||2924999
P00019-SII  |PRIMA MULTI PERKASA, PT                                     ||012.004.0060-07       |2007-12-31|DRTV                          ||22855933
P00019-SII  |PRIMA MULTI PERKASA, PT                                     ||012.004.0195-07       |2007-12-31|DRTV                          ||37613322
P00019-SII  |PRIMA MULTI PERKASA, PT                                     ||07.004.0014-07        |2007-07-31|DRTV                          ||28210000
P00019-SII  |PRIMA MULTI PERKASA, PT                                     ||07.004.0015-07        |2007-07-31|DRTV                          ||70525000
P00019-SII  |PRIMA MULTI PERKASA, PT                                     ||07.004.0016-07        |2007-07-31|DRTV                          ||56420000
P00019-SII  |PRIMA MULTI PERKASA, PT                                     ||07.004.0017-07        |2007-07-31|DRTV                          ||1430000
P00019-SII  |PRIMA MULTI PERKASA, PT                                     ||07.004.0018-07        |2007-07-31|DRTV                          ||42315000
P00019-SII  |PRIMA MULTI PERKASA, PT                                     ||07.004.0019-07        |2007-07-31|DRTV                          ||70525000
P00019-SII  |PRIMA MULTI PERKASA, PT                                     ||07.004.0020-07        |2007-07-31|DRTV                          ||672000
P00019-SII  |PRIMA MULTI PERKASA, PT                                     ||08.004.0026-07        |2007-08-31|DRTV                          ||975000
P00019-SII  |PRIMA MULTI PERKASA, PT                                     ||08.004.0027-07        |2007-08-31|DRTV                          ||975000
P00019-SII  |PRIMA MULTI PERKASA, PT                                     ||08.004.0028-07        |2007-08-31|DRTV                          ||1170000
P00019-SII  |PRIMA MULTI PERKASA, PT                                     ||08.004.0029-07        |2007-08-31|DRTV                          ||780000
P00019-SII  |PRIMA MULTI PERKASA, PT                                     ||08.004.0030-07        |2007-08-31|DRTV                          ||780000
P00019-SII  |PRIMA MULTI PERKASA, PT                                     ||08.004.0031-07        |2007-08-31|DRTV                          ||1852499
P00019-SII  |PRIMA MULTI PERKASA, PT                                     ||08.004.0032-07        |2007-08-31|DRTV                          ||28870000
P00019-SII  |PRIMA MULTI PERKASA, PT                                     ||09.004.0015-07        |2007-09-30|DRTV                          ||975000
P00019-SII  |PRIMA MULTI PERKASA, PT                                     ||09.004.0046-07        |2007-09-30|DRTV                          ||194999
P00019-SII  |PRIMA MULTI PERKASA, PT                                     ||09.004.0047-07        |2007-09-30|DRTV                          ||975000
P00019-SII  |PRIMA MULTI PERKASA, PT                                     ||09.004.0048-07        |2007-09-30|DRTV                          ||1462500
P00019-SII  |PRIMA MULTI PERKASA, PT                                     ||09.004.0049-07        |2007-09-30|DRTV                          ||249000
P00019-SII  |PRIMA MULTI PERKASA, PT                                     ||09.004.0117-07        |2007-09-30|DRTV                          ||1283750
P00019-SII  |PRIMA MULTI PERKASA, PT                                     ||1406.00090            |2014-06-30|DRTV (2M)                     |PRIMA MULTI PERKASA, PT                                     |148720000
P00019-SII  |PRIMA MULTI PERKASA, PT                                     ||1406.00091            |2014-06-30|DRTV (1 MENIT)                |PRIMA MULTI PERKASA, PT                                     |85800000
P00019-SII  |PRIMA MULTI PERKASA, PT                                     ||1406.00252            |2014-06-30|DRTV (1 MENIT)                |PRIMA MULTI PERKASA, PT                                     |54340000
P00019-SII  |PRIMA MULTI PERKASA, PT                                     ||1406.00253            |2014-06-30|DRTV (2M)                     |PRIMA MULTI PERKASA, PT                                     |114400000
P00019-SII  |PRIMA MULTI PERKASA, PT                                     ||1407.00056            |2014-07-31|DRTV (1 MENIT)                |PRIMA MULTI PERKASA, PT                                     |74360000
P00019-SII  |PRIMA MULTI PERKASA, PT                                     ||1407.00057            |2014-07-31|DRTV (2M)                     |PRIMA MULTI PERKASA, PT                                     |120120000
P00019-SII  |PRIMA MULTI PERKASA, PT                                     ||1407.00238            |2014-07-31|DRTV (2M)                     |PRIMA MULTI PERKASA, PT                                     |28600000
P00019-SII  |PRIMA MULTI PERKASA, PT                                     ||1407.00383            |2014-07-31|DRTV (1 MENIT)                |PRIMA MULTI PERKASA, PT                                     |14300000
P00020-SII  |PRIME TIVI INDONESIA, PT                                    ||001.0040080- 05       |2005-01-30|BISOLVON EXTRA                ||59400000
P00020-SII  |PRIME TIVI INDONESIA, PT                                    ||001.0040081- 05       |2005-01-30|BISOLTUSIN                    ||59400000
P00020-SII  |PRIME TIVI INDONESIA, PT                                    ||001.0040082- 05       |2005-01-30|DULCOLAK                      ||23221800
P00020-SII  |PRIME TIVI INDONESIA, PT                                    ||002.0040089 -05       |2005-02-28|PHARMATON FORMULA             ||12368000
P00020-SII  |PRIME TIVI INDONESIA, PT                                    ||002.0040090 -05       |2005-02-28|BISOLVON EXTRA                ||107712000
P00020-SII  |PRIME TIVI INDONESIA, PT                                    ||005.0040132 -05       |2005-05-31|SAKATONIK LIVER               ||22000000
P00020-SII  |PRIME TIVI INDONESIA, PT                                    ||006.0040120 -05       |2005-06-30|PRIME TV                      ||33000000
P00020-SII  |PRIME TIVI INDONESIA, PT                                    ||007.0040124 -05       |2005-07-30|PRIME TV                      ||16500000
P00055-SII  |PERSADA TALENTA UTAMA, PT                                   ||1112.00144            |2011-12-21|SILAKNAS ICMI                 ||9500000
P00067-SII  |PANITIA PELAKSANA INDONESIA OPEN GRANDPRIX GOLD 2010        ||1010.00153            |2010-10-31|KALTIM PRIMA COAL             ||710000000
P00076-BLI  |PIRAMID MEDIA PRATAMA, PT                                   ||1104.00041            |2011-04-30|KEMENTERIAN PERTANIAN - KETAHA||6000000
P00100-SII  |PERMATA BERLIAN,PT                                          ||1809.00115            |2018-09-27|KEMENTERIAN PEKERJAAN UMUM DAN|KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT             |8000000
P00141-SII  |POSITIF GLOBAL MANDIRI, PT                                  ||1609.00133            |2016-09-30|DITJEN IMIGRASI RI            |DITJEN IMIGRASI RI                                          |1500000
P00144-SII  |PEGADAIAN (PERSERO), PT                                     ||2102.00001            |2021-02-01|PEGADAIAN                     |PEGADAIAN (PERSERO), PT                                     |109090909
P00146-BLI  |PARTAI GERAKAN INDONESIA RAYA                               ||1704.00029            |2017-04-27|PIDATO KEBANGSAAN             |PARTAI GERAKAN INDONESIA RAYA                               |1700000000
P00146-SII  |PARTAI GERAKAN INDONESIA RAYA                               ||1705.00041            |2017-05-29|PESAN PERSATUAN ANIES - SANDY |PARTAI GERAKAN INDONESIA RAYA                               |1100000000
P00176-SII  |PHAROS INDONESIA, PT                                        ||2010.00081            |2020-10-31|POLYSILANE TABLET             |PHAROS INDONESIA, PT                                        |2000000
P00176-SII  |PHAROS INDONESIA, PT                                        ||2010.00082            |2020-10-31|MICROLAX                      |PHAROS INDONESIA, PT                                        |2000000
P00176-SII  |PHAROS INDONESIA, PT                                        ||2010.00083            |2020-10-31|VIOSTIN                       |PHAROS INDONESIA, PT                                        |2000000
P00176-SII  |PHAROS INDONESIA, PT                                        ||2010.00199            |2020-10-31|PRORIS KAPLET                 |PHAROS INDONESIA, PT                                        |392500
P00176-SII  |PHAROS INDONESIA, PT                                        ||2011.00115            |2020-11-30|POLYSILANE SUSPENSI           |PHAROS INDONESIA, PT                                        |1297000
P00176-SII  |PHAROS INDONESIA, PT                                        ||2011.00116            |2020-11-30|MICROLAX                      |PHAROS INDONESIA, PT                                        |110000000
P00176-SII  |PHAROS INDONESIA, PT                                        ||2011.00117            |2020-11-30|PRORIS KAPLET                 |PHAROS INDONESIA, PT                                        |1607500
